17.301,1499,1774513138.23835
17.401,1524,1774513138.33835
17.501,1522,1774513138.43835
17.601,1498,1774513138.53835
17.701,1470,1774513138.63835
17.801,1428,1774513138.73835
17.901,1380,1774513138.83835
18.001,1377,1774513138.93835
18.101,1339,1774513139.03835
18.201,1336,1774513139.13835
18.301,1318,1774513139.23835
18.401,1293,1774513139.33835
18.501,1245,1774513139.43835
18.601,1237,1774513139.53835
18.701,1272,1774513139.63835
18.801,1292,1774513139.73835
18.901,1296,1774513139.83835
19.001,1324,1774513139.93835
19.101,1334,1774513140.03835
19.201,1337,1774513140.13835
19.301,1331,1774513140.23835
19.401,1335,1774513140.33835
19.501,1325,1774513140.43835
19.601,1329,1774513140.53835
19.701,1348,1774513140.63835
19.801,1378,1774513140.73835
19.901,1404,1774513140.83835
20.001,1437,1774513140.93835
20.101,1463,1774513141.03835
20.201,1482,1774513141.13835
20.301,1482,1774513141.23835
20.401,1466,1774513141.33835
20.501,1391,1774513141.43835
20.601,1349,1774513141.53835
20.701,1320,1774513141.63835
20.801,1304,1774513141.73835
20.901,1279,1774513141.83835
21.001,1276,1774513141.93835
21.101,1290,1774513142.03835
21.201,1286,1774513142.13835
21.301,1307,1774513142.23835
21.401,1370,1774513142.33835
21.501,1442,1774513142.43835
21.601,1436,1774513142.53835
21.701,1472,1774513142.63835
21.801,1476,1774513142.73835
21.901,1479,1774513142.83835
22.001,1473,1774513142.93835
22.101,1477,1774513143.03835
22.201,1458,1774513143.13835
22.301,1440,1774513143.23835
22.401,1401,1774513143.33835
22.501,1387,1774513143.43835
22.601,1344,1774513143.53835
22.701,1292,1774513143.63835
22.801,1274,1774513143.73835
22.901,1280,1774513143.83835
23.001,1311,1774513143.93835
23.101,1359,1774513144.03835
23.201,1389,1774513144.13835
23.301,1411,1774513144.23835
23.401,1443,1774513144.33835
23.501,1486,1774513144.43835
23.601,1521,1774513144.53835
23.701,1533,1774513144.63835
23.801,1512,1774513144.73835
23.901,1485,1774513144.83835
24.001,1450,1774513144.93835
24.101,1404,1774513145.03835
24.201,1386,1774513145.13835
24.301,1338,1774513145.23835
24.401,1290,1774513145.33835
24.501,1271,1774513145.43835
24.601,1263,1774513145.53835
24.701,1259,1774513145.63835
24.801,1287,1774513145.73835
24.901,1301,1774513145.83835
25.001,1319,1774513145.93835
25.101,1316,1774513146.03835
25.201,1322,1774513146.13835
25.301,1312,1774513146.23835
25.401,1329,1774513146.33835
25.501,1342,1774513146.43835
25.601,1359,1774513146.53835
25.701,1370,1774513146.63835
25.801,1361,1774513146.73835
25.901,1341,1774513146.83835
26.001,1318,1774513146.93835
26.101,1297,1774513147.03835
26.201,1302,1774513147.13835
26.301,1316,1774513147.23835
26.401,1338,1774513147.33835
26.501,1360,1774513147.43835
26.601,1380,1774513147.53835
26.701,1388,1774513147.63835
26.801,1387,1774513147.73835
26.901,1387,1774513147.83835
27.001,1377,1774513147.93835
27.101,1348,1774513148.03835
27.201,1331,1774513148.13835
27.301,1325,1774513148.23835
27.401,1334,1774513148.33835
27.501,1352,1774513148.43835
27.601,1352,1774513148.53835
27.701,1335,1774513148.63835
27.801,1298,1774513148.73835
27.901,1284,1774513148.83835
28.001,1271,1774513148.93835
28.101,1271,1774513149.03835
28.201,1320,1774513149.13835
28.301,1336,1774513149.23835
28.401,1355,1774513149.33835
28.501,1360,1774513149.43835
28.601,1370,1774513149.53835
28.701,1348,1774513149.63835
28.801,1359,1774513149.73835
28.901,1346,1774513149.83835
29.001,1319,1774513149.93835
29.101,1348,1774513150.03835
29.201,1344,1774513150.13835
29.301,1382,1774513150.23835
29.401,1436,1774513150.33835
29.501,1448,1774513150.43835
29.601,1509,1774513150.53835
29.701,1526,1774513150.63835
29.801,1549,1774513150.73835
29.901,1543,1774513150.83835
30.001,1543,1774513150.93835
30.101,1525,1774513151.03835
30.201,1503,1774513151.13835
30.301,1485,1774513151.23835
30.401,1468,1774513151.33835
30.501,1425,1774513151.43835
30.601,1389,1774513151.53835
30.701,1354,1774513151.63835
30.801,1328,1774513151.73835
30.901,1306,1774513151.83835
31.001,1301,1774513151.93835
31.101,1270,1774513152.03835
31.201,1265,1774513152.13835
31.301,1295,1774513152.23835
31.401,1294,1774513152.33835
31.501,1304,1774513152.43835
31.601,1327,1774513152.53835
31.701,1296,1774513152.63835
